system,hit_rate,false_hit_rate,precision,f1,true_hits,false_hits
Baseline (static T=0.72),0.4,0.4666666666666667,0.46153846153846156,0.42857142857142855,6,7
+ Adaptive T,0.3333333333333333,0.3333333333333333,0.5,0.4,5,5
+ Verifier (Tier-1),0.4,0.13333333333333333,0.75,0.5217391304347826,6,2
VeriGate (Tier-1),0.3333333333333333,0.0,1.0,0.5,5,0
VeriGate (Tier-1+2 NLI),0.2,0.0,1.0,0.3333333333333333,3,0
